8,17,26,34,43,52,60,69,78,86,95,104,112,121,130,138,147,156,164,173,182,190,199,208,216
2,1,1,1,1,2,1,1,2,3,3,4,4,5,5,5,6,6,6,7,7,7,8,8,9
3,2,1,2,1,2,2,2,3,2,3,2,3,3,3,3,4,3,4,3,4,4,5,4,4
3,2,2,2,2,3,2,3,3,3,4,3,4,4,4,4,5,4,5,5,5,6,5,6,6
4,3,3,4,3,5,4,5,5,6,6,7,7,7,8,8,8,9,9,10,10,11,11,11,12
3,2,2,2,2,2,3,2,3,3,4,3,3,4,4,4,5,4,5,4,6,5,5,6,5
3,3,6,8,10,13,15,17,19,21,23,26,28,30,32,34,36,39,41,43,45,47,49,52,54
3,1,2,1,2,2,1,2,2,3,2,2,3,2,3,3,3,3,3,4,3,4,4,4,4
3,2,1,2,2,2,2,2,2,3,3,2,3,3,4,3,4,3,4,4,4,4,5,4,5
5,4,4,4,5,5,7,6,8,7,9,9,9,10,11,11,12,13,13,13,14,15,15,16,16
5,3,3,4,5,5,5,6,6,7,7,8,8,9,9,10,11,10,11,12,12,13,13,14,14
3,2,1,2,2,2,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,5,4,5,5
3,2,1,2,2,2,2,2,2,3,3,2,3,3,4,3,4,3,4,4,4,4,5,4,5
2,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0
7,4,6,7,7,9,9,11,11,13,13,14,16,16,17,18,19,21,21,22,23,24,25,26,27
5,3,3,4,5,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,38,40,42,44,46
3,1,1,1,2,1,2,1,2,2,1,2,2,2,3,2,2,3,2,3,3,3,2,3,4
2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,3
2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,3,2,2
3,1,2,2,1,2,2,2,2,3,2,3,3,2,3,3,4,3,4,3,4,4,4,4,5
4,2,2,2,2,3,3,3,4,3,4,4,4,5,4,5,6,5,6,5,7,6,6,7,7
2,1,1,1,1,1,2,1,2,4,4,4,4,8,8,8,8,8,8,8,12,12,12,12,12
